entity,p_Am,kap_X
PT933602927,5706.3405669127205,0.19659611237395236
PT333653651,5538.513972402869,0.2126966454885982
PT933843894,5841.134016741124,0.19909709630946557
PT033634130,5481.277372795419,0.2135005722875043
PT424401157,5641.995060182376,0.22890404038592382
PT533987885,5656.567073196213,0.19876987151541375
PT833653649,5834.50733221768,0.1992934165054628
PT833653644,5668.560167708809,0.23067829067105675
PT624139868,5726.710337132932,0.2285931292441617
PT224401177,6016.22737507571,0.19667191414050955
PT724523831,5396.304036598239,0.21322402847940328
PT924401183,6074.808951875158,0.19651148239470084
PT524401180,5732.153454120599,0.19912639595421042
PT433843806,5806.67298138817,0.22941959473381757
PT524956505,5992.376519081667,0.19664625383672923
PT233843883,5594.191267768007,0.21295641401746002
PT533843896,5706.98585492787,0.1967241766939526
PT533358890,5703.217927152704,0.21319398178737234
PT333842562,5888.4723647604405,0.19909636599410674
PT933843912,5798.384436692777,0.23031069730205167
